Rainfall - (MM), Year, Statistics, Country, ISO3
27.9507, 2003, May Average, India, IND
149.982, 2003, Jun Average, India, IND
292.677, 2003, Jul Average, India, IND
196.482, 2003, Aug Average, India, IND
149.575, 2003, Sep Average, India, IND
90.3734, 2003, Oct Average, India, IND
12.9583, 2003, Nov Average, India, IND
9.18084, 2003, Dec Average, India, IND
15.1739, 2004, Jan Average, India, IND
3.58617, 2004, Feb Average, India, IND
7.44911, 2004, Mar Average, India, IND
41.7275, 2004, Apr Average, India, IND
61.4734, 2004, May Average, India, IND
169.653, 2004, Jun Average, India, IND
181.622, 2004, Jul Average, India, IND
242.603, 2004, Aug Average, India, IND
143.7, 2004, Sep Average, India, IND
83.9595, 2004, Oct Average, India, IND
14.8435, 2004, Nov Average, India, IND
4.21668, 2004, Dec Average, India, IND
15.6107, 2005, Jan Average, India, IND
13.5577, 2005, Feb Average, India, IND
25.3027, 2005, Mar Average, India, IND
29.9083, 2005, Apr Average, India, IND
45.292, 2005, May Average, India, IND
126.956, 2005, Jun Average, India, IND
243.22, 2005, Jul Average, India, IND
180.217, 2005, Aug Average, India, IND
211.371, 2005, Sep Average, India, IND
93.7128, 2005, Oct Average, India, IND
19.0909, 2005, Nov Average, India, IND
8.8354, 2005, Dec Average, India, IND
5.58405, 2006, Jan Average, India, IND
4.252, 2006, Feb Average, India, IND
33.8217, 2006, Mar Average, India, IND
49.7575, 2006, Apr Average, India, IND
71.3447, 2006, May Average, India, IND
130.572, 2006, Jun Average, India, IND
287.882, 2006, Jul Average, India, IND
255.353, 2006, Aug Average, India, IND
180.838, 2006, Sep Average, India, IND
69.2117, 2006, Oct Average, India, IND
33.3582, 2006, Nov Average, India, IND
4.35072, 2006, Dec Average, India, IND
1.11496, 2007, Jan Average, India, IND
34.449, 2007, Feb Average, India, IND
17.7701, 2007, Mar Average, India, IND
47.1828, 2007, Apr Average, India, IND
49.3842, 2007, May Average, India, IND
164.16, 2007, Jun Average, India, IND
234.215, 2007, Jul Average, India, IND
271.744, 2007, Aug Average, India, IND
198.825, 2007, Sep Average, India, IND
47.78, 2007, Oct Average, India, IND
18.0383, 2007, Nov Average, India, IND
6.54007, 2007, Dec Average, India, IND
12.5762, 2008, Jan Average, India, IND
11.4103, 2008, Feb Average, India, IND
19.3223, 2008, Mar Average, India, IND
31.4689, 2008, Apr Average, India, IND
48.9404, 2008, May Average, India, IND
206.119, 2008, Jun Average, India, IND
237.229, 2008, Jul Average, India, IND
264.578, 2008, Aug Average, India, IND
158.771, 2008, Sep Average, India, IND
54.2485, 2008, Oct Average, India, IND
29.144, 2008, Nov Average, India, IND
8.32411, 2008, Dec Average, India, IND
5.35049, 2009, Jan Average, India, IND
6.24596, 2009, Feb Average, India, IND
10.3648, 2009, Mar Average, India, IND
27.1659, 2009, Apr Average, India, IND
60.8802, 2009, May Average, India, IND
109.863, 2009, Jun Average, India, IND
244.906, 2009, Jul Average, India, IND
184.19, 2009, Aug Average, India, IND
155.807, 2009, Sep Average, India, IND
64.183, 2009, Oct Average, India, IND
56.4923, 2009, Nov Average, India, IND
11.1955, 2009, Dec Average, India, IND
6.99763, 2010, Jan Average, India, IND
8.72056, 2010, Feb Average, India, IND
16.1235, 2010, Mar Average, India, IND
42.6512, 2010, Apr Average, India, IND
56.4619, 2010, May Average, India, IND
141.253, 2010, Jun Average, India, IND
253.967, 2010, Jul Average, India, IND
278.836, 2010, Aug Average, India, IND
219.116, 2010, Sep Average, India, IND
80.5135, 2010, Oct Average, India, IND
58.3874, 2010, Nov Average, India, IND
16.3028, 2010, Dec Average, India, IND
3.68602, 2011, Jan Average, India, IND
21.0137, 2011, Feb Average, India, IND
7.75301, 2011, Mar Average, India, IND
29.96, 2011, Apr Average, India, IND
52.2376, 2011, May Average, India, IND
214.147, 2011, Jun Average, India, IND
239.78, 2011, Jul Average, India, IND
324.397, 2011, Aug Average, India, IND
193.288, 2011, Sep Average, India, IND
40.0764, 2011, Oct Average, India, IND
16.6001, 2011, Nov Average, India, IND
8.06438, 2011, Dec Average, India, IND
20.106, 2012, Jan Average, India, IND
3.55318, 2012, Feb Average, India, IND
8.27489, 2012, Mar Average, India, IND
38.1532, 2012, Apr Average, India, IND
38.6942, 2012, May Average, India, IND
90.9044, 2012, Jun Average, India, IND
253.108, 2012, Jul Average, India, IND
267.531, 2012, Aug Average, India, IND
217.219, 2012, Sep Average, India, IND
53.0233, 2012, Oct Average, India, IND
23.7162, 2012, Nov Average, India, IND
8.95073, 2012, Dec Average, India, IND
7.37833, 2013, Jan Average, India, IND
25.1718, 2013, Feb Average, India, IND
13.4231, 2013, Mar Average, India, IND
32.6442, 2013, Apr Average, India, IND
46.3816, 2013, May Average, India, IND
241.754, 2013, Jun Average, India, IND
320.851, 2013, Jul Average, India, IND
234.015, 2013, Aug Average, India, IND
149.673, 2013, Sep Average, India, IND
113.264, 2013, Oct Average, India, IND
19.3736, 2013, Nov Average, India, IND
6.25491, 2013, Dec Average, India, IND
16.8068, 2014, Jan Average, India, IND
23.8258, 2014, Feb Average, India, IND
20.9625, 2014, Mar Average, India, IND
23.3837, 2014, Apr Average, India, IND
54.4547, 2014, May Average, India, IND
91.2067, 2014, Jun Average, India, IND
246.599, 2014, Jul Average, India, IND
207.789, 2014, Aug Average, India, IND
196.251, 2014, Sep Average, India, IND
63.3887, 2014, Oct Average, India, IND
14.4773, 2014, Nov Average, India, IND
8.15783, 2014, Dec Average, India, IND
16.3729, 2015, Jan Average, India, IND
11.7751, 2015, Feb Average, India, IND
36.9039, 2015, Mar Average, India, IND
54.2276, 2015, Apr Average, India, IND
48.0787, 2015, May Average, India, IND
179.885, 2015, Jun Average, India, IND
242.984, 2015, Jul Average, India, IND
241.113, 2015, Aug Average, India, IND
139.515, 2015, Sep Average, India, IND
41.1901, 2015, Oct Average, India, IND
31.5398, 2015, Nov Average, India, IND
6.64288, 2015, Dec Average, India, IND
7.65333, 2016, Jan Average, India, IND
9.3345, 2016, Feb Average, India, IND
21.2971, 2016, Mar Average, India, IND
21.3067, 2016, Apr Average, India, IND
63.5447, 2016, May Average, India, IND
149.416, 2016, Jun Average, India, IND
322.162, 2016, Jul Average, India, IND
235.774, 2016, Aug Average, India, IND
156.579, 2016, Sep Average, India, IND
51.0386, 2016, Oct Average, India, IND
8.62107, 2016, Nov Average, India, IND
9.65157, 2016, Dec Average, India, IND
