Rainfall - (MM), Year, Statistics, Country, ISO3
108.583, 2007, Jan Average, Colombia, COL
42.708, 2007, Feb Average, Colombia, COL
217.984, 2007, Mar Average, Colombia, COL
314.82, 2007, Apr Average, Colombia, COL
359.421, 2007, May Average, Colombia, COL
245.2, 2007, Jun Average, Colombia, COL
297.979, 2007, Jul Average, Colombia, COL
295.75, 2007, Aug Average, Colombia, COL
203.137, 2007, Sep Average, Colombia, COL
341, 2007, Oct Average, Colombia, COL
218.985, 2007, Nov Average, Colombia, COL
210.031, 2007, Dec Average, Colombia, COL
136.033, 2008, Jan Average, Colombia, COL
154.959, 2008, Feb Average, Colombia, COL
202.288, 2008, Mar Average, Colombia, COL
243.549, 2008, Apr Average, Colombia, COL
553.343, 2008, May Average, Colombia, COL
318.803, 2008, Jun Average, Colombia, COL
382.425, 2008, Jul Average, Colombia, COL
345.305, 2008, Aug Average, Colombia, COL
249.136, 2008, Sep Average, Colombia, COL
249.352, 2008, Oct Average, Colombia, COL
312.869, 2008, Nov Average, Colombia, COL
162.693, 2008, Dec Average, Colombia, COL
163.402, 2009, Jan Average, Colombia, COL
143.194, 2009, Feb Average, Colombia, COL
265.574, 2009, Mar Average, Colombia, COL
189.386, 2009, Apr Average, Colombia, COL
255.525, 2009, May Average, Colombia, COL
297.061, 2009, Jun Average, Colombia, COL
207.249, 2009, Jul Average, Colombia, COL
265.792, 2009, Aug Average, Colombia, COL
151.475, 2009, Sep Average, Colombia, COL
255.591, 2009, Oct Average, Colombia, COL
144.335, 2009, Nov Average, Colombia, COL
118.596, 2009, Dec Average, Colombia, COL
45.4006, 2010, Jan Average, Colombia, COL
89.7351, 2010, Feb Average, Colombia, COL
161.378, 2010, Mar Average, Colombia, COL
327.728, 2010, Apr Average, Colombia, COL
359.239, 2010, May Average, Colombia, COL
367.621, 2010, Jun Average, Colombia, COL
380.063, 2010, Jul Average, Colombia, COL
222.503, 2010, Aug Average, Colombia, COL
280.54, 2010, Sep Average, Colombia, COL
246.472, 2010, Oct Average, Colombia, COL
375.281, 2010, Nov Average, Colombia, COL
261.668, 2010, Dec Average, Colombia, COL
124.76, 2011, Jan Average, Colombia, COL
174.187, 2011, Feb Average, Colombia, COL
204.542, 2011, Mar Average, Colombia, COL
418.318, 2011, Apr Average, Colombia, COL
389.232, 2011, May Average, Colombia, COL
342.108, 2011, Jun Average, Colombia, COL
306.158, 2011, Jul Average, Colombia, COL
210.869, 2011, Aug Average, Colombia, COL
278.991, 2011, Sep Average, Colombia, COL
270.26, 2011, Oct Average, Colombia, COL
319.737, 2011, Nov Average, Colombia, COL
239.535, 2011, Dec Average, Colombia, COL
139.684, 2012, Jan Average, Colombia, COL
108.976, 2012, Feb Average, Colombia, COL
199.521, 2012, Mar Average, Colombia, COL
277.141, 2012, Apr Average, Colombia, COL
236.268, 2012, May Average, Colombia, COL
179.003, 2012, Jun Average, Colombia, COL
232.804, 2012, Jul Average, Colombia, COL
185.661, 2012, Aug Average, Colombia, COL
169.714, 2012, Sep Average, Colombia, COL
249.716, 2012, Oct Average, Colombia, COL
166.472, 2012, Nov Average, Colombia, COL
197.758, 2012, Dec Average, Colombia, COL
64.4901, 2013, Jan Average, Colombia, COL
172.02, 2013, Feb Average, Colombia, COL
137.485, 2013, Mar Average, Colombia, COL
183.056, 2013, Apr Average, Colombia, COL
367.192, 2013, May Average, Colombia, COL
232.212, 2013, Jun Average, Colombia, COL
153.626, 2013, Jul Average, Colombia, COL
302.247, 2013, Aug Average, Colombia, COL
208.206, 2013, Sep Average, Colombia, COL
191.849, 2013, Oct Average, Colombia, COL
204.808, 2013, Nov Average, Colombia, COL
132.603, 2013, Dec Average, Colombia, COL
101.263, 2014, Jan Average, Colombia, COL
124.893, 2014, Feb Average, Colombia, COL
163.249, 2014, Mar Average, Colombia, COL
196.952, 2014, Apr Average, Colombia, COL
266.601, 2014, May Average, Colombia, COL
208.37, 2014, Jun Average, Colombia, COL
189.856, 2014, Jul Average, Colombia, COL
225.373, 2014, Aug Average, Colombia, COL
190.831, 2014, Sep Average, Colombia, COL
246.692, 2014, Oct Average, Colombia, COL
222.983, 2014, Nov Average, Colombia, COL
177.859, 2014, Dec Average, Colombia, COL
121.265, 2015, Jan Average, Colombia, COL
106.23, 2015, Feb Average, Colombia, COL
250.665, 2015, Mar Average, Colombia, COL
227.028, 2015, Apr Average, Colombia, COL
185.557, 2015, May Average, Colombia, COL
230.521, 2015, Jun Average, Colombia, COL
243.036, 2015, Jul Average, Colombia, COL
178.718, 2015, Aug Average, Colombia, COL
133.138, 2015, Sep Average, Colombia, COL
160.918, 2015, Oct Average, Colombia, COL
176.606, 2015, Nov Average, Colombia, COL
72.9596, 2015, Dec Average, Colombia, COL
82.9881, 2016, Jan Average, Colombia, COL
73.5669, 2016, Feb Average, Colombia, COL
181.854, 2016, Mar Average, Colombia, COL
293.124, 2016, Apr Average, Colombia, COL
256.627, 2016, May Average, Colombia, COL
180.777, 2016, Jun Average, Colombia, COL
256.253, 2016, Jul Average, Colombia, COL
225.063, 2016, Aug Average, Colombia, COL
233.826, 2016, Sep Average, Colombia, COL
234.979, 2016, Oct Average, Colombia, COL
124.15, 2016, Nov Average, Colombia, COL
134.379, 2016, Dec Average, Colombia, COL
