Temperature - (Celsius), Year, Statistics, Country, ISO3
24.3268, 1998, Sep Average, Kenya, KEN
25.8522, 1998, Oct Average, Kenya, KEN
24.8346, 1998, Nov Average, Kenya, KEN
24.7358, 1998, Dec Average, Kenya, KEN
25.5838, 1999, Jan Average, Kenya, KEN
26.7698, 1999, Feb Average, Kenya, KEN
26.7005, 1999, Mar Average, Kenya, KEN
25.8207, 1999, Apr Average, Kenya, KEN
25.3357, 1999, May Average, Kenya, KEN
23.9813, 1999, Jun Average, Kenya, KEN
23.1006, 1999, Jul Average, Kenya, KEN
23.2923, 1999, Aug Average, Kenya, KEN
24.4701, 1999, Sep Average, Kenya, KEN
24.4443, 1999, Oct Average, Kenya, KEN
24.4406, 1999, Nov Average, Kenya, KEN
24.4371, 1999, Dec Average, Kenya, KEN
24.5514, 2000, Jan Average, Kenya, KEN
25.5136, 2000, Feb Average, Kenya, KEN
26.5248, 2000, Mar Average, Kenya, KEN
26.3236, 2000, Apr Average, Kenya, KEN
25.2045, 2000, May Average, Kenya, KEN
23.5084, 2000, Jun Average, Kenya, KEN
24.1301, 2000, Jul Average, Kenya, KEN
24.0395, 2000, Aug Average, Kenya, KEN
24.0184, 2000, Sep Average, Kenya, KEN
24.5562, 2000, Oct Average, Kenya, KEN
25.8349, 2000, Nov Average, Kenya, KEN
24.6516, 2000, Dec Average, Kenya, KEN
25.6423, 2001, Jan Average, Kenya, KEN
26.8772, 2001, Feb Average, Kenya, KEN
27.1555, 2001, Mar Average, Kenya, KEN
25.7671, 2001, Apr Average, Kenya, KEN
24.9937, 2001, May Average, Kenya, KEN
23.4213, 2001, Jun Average, Kenya, KEN
23.153, 2001, Jul Average, Kenya, KEN
23.4107, 2001, Aug Average, Kenya, KEN
24.7741, 2001, Sep Average, Kenya, KEN
25.855, 2001, Oct Average, Kenya, KEN
24.8915, 2001, Nov Average, Kenya, KEN
25.2077, 2001, Dec Average, Kenya, KEN
25.5658, 2002, Jan Average, Kenya, KEN
26.4501, 2002, Feb Average, Kenya, KEN
27.0802, 2002, Mar Average, Kenya, KEN
26.4038, 2002, Apr Average, Kenya, KEN
25.7182, 2002, May Average, Kenya, KEN
24.4419, 2002, Jun Average, Kenya, KEN
23.7321, 2002, Jul Average, Kenya, KEN
24.5022, 2002, Aug Average, Kenya, KEN
25.0192, 2002, Sep Average, Kenya, KEN
25.6157, 2002, Oct Average, Kenya, KEN
25.5577, 2002, Nov Average, Kenya, KEN
25.6499, 2002, Dec Average, Kenya, KEN
25.9206, 2003, Jan Average, Kenya, KEN
26.2382, 2003, Feb Average, Kenya, KEN
27.1914, 2003, Mar Average, Kenya, KEN
27.0047, 2003, Apr Average, Kenya, KEN
25.8128, 2003, May Average, Kenya, KEN
24.411, 2003, Jun Average, Kenya, KEN
23.8584, 2003, Jul Average, Kenya, KEN
23.9016, 2003, Aug Average, Kenya, KEN
24.5353, 2003, Sep Average, Kenya, KEN
25.4204, 2003, Oct Average, Kenya, KEN
25.3879, 2003, Nov Average, Kenya, KEN
25.77, 2003, Dec Average, Kenya, KEN
26.3393, 2004, Jan Average, Kenya, KEN
26.9267, 2004, Feb Average, Kenya, KEN
26.6257, 2004, Mar Average, Kenya, KEN
25.8352, 2004, Apr Average, Kenya, KEN
25.6915, 2004, May Average, Kenya, KEN
24.6079, 2004, Jun Average, Kenya, KEN
23.7949, 2004, Jul Average, Kenya, KEN
24.5243, 2004, Aug Average, Kenya, KEN
24.4596, 2004, Sep Average, Kenya, KEN
24.4763, 2004, Oct Average, Kenya, KEN
25.1573, 2004, Nov Average, Kenya, KEN
25.3106, 2004, Dec Average, Kenya, KEN
24.8122, 2005, Jan Average, Kenya, KEN
27.1921, 2005, Feb Average, Kenya, KEN
27.4049, 2005, Mar Average, Kenya, KEN
26.7171, 2005, Apr Average, Kenya, KEN
25.1366, 2005, May Average, Kenya, KEN
24.1579, 2005, Jun Average, Kenya, KEN
23.5231, 2005, Jul Average, Kenya, KEN
23.9151, 2005, Aug Average, Kenya, KEN
25.2023, 2005, Sep Average, Kenya, KEN
25.1685, 2005, Oct Average, Kenya, KEN
25.3178, 2005, Nov Average, Kenya, KEN
25.4102, 2005, Dec Average, Kenya, KEN
26.012, 2006, Jan Average, Kenya, KEN
26.9355, 2006, Feb Average, Kenya, KEN
27.0357, 2006, Mar Average, Kenya, KEN
25.8867, 2006, Apr Average, Kenya, KEN
24.986, 2006, May Average, Kenya, KEN
24.4074, 2006, Jun Average, Kenya, KEN
23.548, 2006, Jul Average, Kenya, KEN
24.2949, 2006, Aug Average, Kenya, KEN
24.1269, 2006, Sep Average, Kenya, KEN
25.8045, 2006, Oct Average, Kenya, KEN
25.1589, 2006, Nov Average, Kenya, KEN
24.8899, 2006, Dec Average, Kenya, KEN
25.5855, 2007, Jan Average, Kenya, KEN
26.4363, 2007, Feb Average, Kenya, KEN
26.6092, 2007, Mar Average, Kenya, KEN
26.0444, 2007, Apr Average, Kenya, KEN
25.5509, 2007, May Average, Kenya, KEN
23.7128, 2007, Jun Average, Kenya, KEN
22.7807, 2007, Jul Average, Kenya, KEN
23.6905, 2007, Aug Average, Kenya, KEN
24.7334, 2007, Sep Average, Kenya, KEN
25.5032, 2007, Oct Average, Kenya, KEN
24.8829, 2007, Nov Average, Kenya, KEN
25.1843, 2007, Dec Average, Kenya, KEN
25.9522, 2008, Jan Average, Kenya, KEN
26.0127, 2008, Feb Average, Kenya, KEN
26.2269, 2008, Mar Average, Kenya, KEN
25.4593, 2008, Apr Average, Kenya, KEN
24.5696, 2008, May Average, Kenya, KEN
23.5775, 2008, Jun Average, Kenya, KEN
23.2604, 2008, Jul Average, Kenya, KEN
24.4005, 2008, Aug Average, Kenya, KEN
25.4872, 2008, Sep Average, Kenya, KEN
25.3388, 2008, Oct Average, Kenya, KEN
24.499, 2008, Nov Average, Kenya, KEN
24.8051, 2008, Dec Average, Kenya, KEN
25.6666, 2009, Jan Average, Kenya, KEN
26.1369, 2009, Feb Average, Kenya, KEN
27.0794, 2009, Mar Average, Kenya, KEN
26.8432, 2009, Apr Average, Kenya, KEN
25.418, 2009, May Average, Kenya, KEN
24.6483, 2009, Jun Average, Kenya, KEN
23.8074, 2009, Jul Average, Kenya, KEN
24.7409, 2009, Aug Average, Kenya, KEN
25.2241, 2009, Sep Average, Kenya, KEN
25.6667, 2009, Oct Average, Kenya, KEN
25.5432, 2009, Nov Average, Kenya, KEN
26.582, 2009, Dec Average, Kenya, KEN
26.2326, 2010, Jan Average, Kenya, KEN
26.4022, 2010, Feb Average, Kenya, KEN
27.0585, 2010, Mar Average, Kenya, KEN
26.7494, 2010, Apr Average, Kenya, KEN
25.2216, 2010, May Average, Kenya, KEN
24.1788, 2010, Jun Average, Kenya, KEN
23.5993, 2010, Jul Average, Kenya, KEN
24.1275, 2010, Aug Average, Kenya, KEN
24.7352, 2010, Sep Average, Kenya, KEN
25.7465, 2010, Oct Average, Kenya, KEN
25.2708, 2010, Nov Average, Kenya, KEN
25.984, 2010, Dec Average, Kenya, KEN
26.1305, 2011, Jan Average, Kenya, KEN
26.0875, 2011, Feb Average, Kenya, KEN
26.8969, 2011, Mar Average, Kenya, KEN
27.0179, 2011, Apr Average, Kenya, KEN
25.8316, 2011, May Average, Kenya, KEN
24.4374, 2011, Jun Average, Kenya, KEN
23.8652, 2011, Jul Average, Kenya, KEN
23.9092, 2011, Aug Average, Kenya, KEN
24.8131, 2011, Sep Average, Kenya, KEN
24.8914, 2011, Oct Average, Kenya, KEN
24.9862, 2011, Nov Average, Kenya, KEN
25.0738, 2011, Dec Average, Kenya, KEN
24.9748, 2012, Jan Average, Kenya, KEN
25.9048, 2012, Feb Average, Kenya, KEN
27.5007, 2012, Mar Average, Kenya, KEN
26.1119, 2012, Apr Average, Kenya, KEN
25.5211, 2012, May Average, Kenya, KEN
24.1384, 2012, Jun Average, Kenya, KEN
23.423, 2012, Jul Average, Kenya, KEN
24.3426, 2012, Aug Average, Kenya, KEN
25.22, 2012, Sep Average, Kenya, KEN
25.7267, 2012, Oct Average, Kenya, KEN
25.4841, 2012, Nov Average, Kenya, KEN
24.5937, 2012, Dec Average, Kenya, KEN
25.5601, 2013, Jan Average, Kenya, KEN
26.66, 2013, Feb Average, Kenya, KEN
27.1454, 2013, Mar Average, Kenya, KEN
25.0039, 2013, Apr Average, Kenya, KEN
25.5921, 2013, May Average, Kenya, KEN
23.2803, 2013, Jun Average, Kenya, KEN
23.7706, 2013, Jul Average, Kenya, KEN
23.5732, 2013, Aug Average, Kenya, KEN
25.195, 2013, Sep Average, Kenya, KEN
25.2564, 2013, Oct Average, Kenya, KEN
25.812, 2013, Nov Average, Kenya, KEN
25.3371, 2013, Dec Average, Kenya, KEN
25.6409, 2014, Jan Average, Kenya, KEN
26.6889, 2014, Feb Average, Kenya, KEN
26.8922, 2014, Mar Average, Kenya, KEN
25.4701, 2014, Apr Average, Kenya, KEN
25.6096, 2014, May Average, Kenya, KEN
25.0937, 2014, Jun Average, Kenya, KEN
24.5677, 2014, Jul Average, Kenya, KEN
23.8324, 2014, Aug Average, Kenya, KEN
24.8383, 2014, Sep Average, Kenya, KEN
25.4047, 2014, Oct Average, Kenya, KEN
25.4512, 2014, Nov Average, Kenya, KEN
25.4477, 2014, Dec Average, Kenya, KEN
25.0435, 2015, Jan Average, Kenya, KEN
26.386, 2015, Feb Average, Kenya, KEN
26.5572, 2015, Mar Average, Kenya, KEN
26.0706, 2015, Apr Average, Kenya, KEN
25.0663, 2015, May Average, Kenya, KEN
24.5884, 2015, Jun Average, Kenya, KEN
24.4622, 2015, Jul Average, Kenya, KEN
24.3538, 2015, Aug Average, Kenya, KEN
25.425, 2015, Sep Average, Kenya, KEN
26.9733, 2015, Oct Average, Kenya, KEN
25.2908, 2015, Nov Average, Kenya, KEN
26.2345, 2015, Dec Average, Kenya, KEN
27.0367, 2016, Jan Average, Kenya, KEN
27.5964, 2016, Feb Average, Kenya, KEN
27.7507, 2016, Mar Average, Kenya, KEN
26.9416, 2016, Apr Average, Kenya, KEN
25.3344, 2016, May Average, Kenya, KEN
24.2913, 2016, Jun Average, Kenya, KEN
24.256, 2016, Jul Average, Kenya, KEN
24.0942, 2016, Aug Average, Kenya, KEN
24.437, 2016, Sep Average, Kenya, KEN
26.0317, 2016, Oct Average, Kenya, KEN
25.5692, 2016, Nov Average, Kenya, KEN
25.7401, 2016, Dec Average, Kenya, KEN
